provider_name,category,subcategory,offer_name,description,price_eur,price_usdc_mock,currency,city,district,address_hint,country_code,website,source,gift_ready,delivery_type,duration_or_validity,tags,status
Yorck Kinogruppe,cinema,ticket,Cinema Night for Two,Two-ticket pack positioned for a shared outing or date night.,22,24,EUR,Berlin,Multiple Districts,Various Berlin cinemas,DE,mock://berlin_seed,Synthetic Berlin seed based on cinema/event gifting patterns,yes,email_qr,single evening,"cinema,couples,date night",seed_live
Yorck Kinogruppe,cinema,ticket,Special Screening Pass,"Premium ticket concept for event screenings, previews or live-accompanied film nights.",30,33,EUR,Berlin,Multiple Districts,Various Berlin cinemas,DE,mock://berlin_seed,Synthetic Berlin seed based on cinema/event gifting patterns,yes,email_qr,event-based,"cinema,special screening,event",seed_live
Wolf Kino,cinema,ticket,Single Cinema Ticket,"Giftable ticket for one screening, simple low-price product for the marketplace.",11,12,EUR,Berlin,Neukölln,Weserstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on cinema/event gifting patterns,yes,email_qr,single screening,"cinema,ticket,entry level",seed_live
Wolf Kino,cinema,ticket,Cinema Night for Two,Two-ticket pack positioned for a shared outing or date night.,22,24,EUR,Berlin,Neukölln,Weserstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on cinema/event gifting patterns,yes,email_qr,single evening,"cinema,couples,date night",seed_live
Wolf Kino,cinema,ticket,Special Screening Pass,"Premium ticket concept for event screenings, previews or live-accompanied film nights.",30,33,EUR,Berlin,Neukölln,Weserstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on cinema/event gifting patterns,yes,email_qr,event-based,"cinema,special screening,event",seed_live
IL KINO,cinema,ticket,Single Cinema Ticket,"Giftable ticket for one screening, simple low-price product for the marketplace.",11,12,EUR,Berlin,Neukölln,Nansenstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on cinema/event gifting patterns,yes,email_qr,single screening,"cinema,ticket,entry level",seed_live
IL KINO,cinema,ticket,Cinema Night for Two,Two-ticket pack positioned for a shared outing or date night.,22,24,EUR,Berlin,Neukölln,Nansenstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on cinema/event gifting patterns,yes,email_qr,single evening,"cinema,couples,date night",seed_live
IL KINO,cinema,ticket,Special Screening Pass,"Premium ticket concept for event screenings, previews or live-accompanied film nights.",30,33,EUR,Berlin,Neukölln,Nansenstraße area,DE,mock://berlin_seed,Synthetic Berlin seed based on cinema/event gifting patterns,yes,email_qr,event-based,"cinema,special screening,event",seed_live
Lichtblick Kino,cinema,ticket,Single Cinema Ticket,"Giftable ticket for one screening, simple low-price product for the marketplace.",11,12,EUR,Berlin,Prenzlauer Berg,Kastanienallee area,DE,mock://berlin_seed,Synthetic Berlin seed based on cinema/event gifting patterns,yes,email_qr,single screening,"cinema,ticket,entry level",seed_live
Lichtblick Kino,cinema,ticket,Cinema Night for Two,Two-ticket pack positioned for a shared outing or date night.,22,24,EUR,Berlin,Prenzlauer Berg,Kastanienallee area,DE,mock://berlin_seed,Synthetic Berlin seed based on cinema/event gifting patterns,yes,email_qr,single evening,"cinema,couples,date night",seed_live
Lichtblick Kino,cinema,ticket,Special Screening Pass,"Premium ticket concept for event screenings, previews or live-accompanied film nights.",30,33,EUR,Berlin,Prenzlauer Berg,Kastanienallee area,DE,mock://berlin_seed,Synthetic Berlin seed based on cinema/event gifting patterns,yes,email_qr,event-based,"cinema,special screening,event",seed_live
Freiluftkino Kreuzberg,cinema,ticket,Single Cinema Ticket,"Giftable ticket for one screening, simple low-price product for the marketplace.",11,12,EUR,Berlin,Kreuzberg,Mariannenplatz area,DE,mock://berlin_seed,Synthetic Berlin seed based on cinema/event gifting patterns,yes,email_qr,single screening,"cinema,ticket,entry level",seed_live
Freiluftkino Kreuzberg,cinema,ticket,Cinema Night for Two,Two-ticket pack positioned for a shared outing or date night.,22,24,EUR,Berlin,Kreuzberg,Mariannenplatz area,DE,mock://berlin_seed,Synthetic Berlin seed based on cinema/event gifting patterns,yes,email_qr,single evening,"cinema,couples,date night",seed_live
Freiluftkino Kreuzberg,cinema,ticket,Special Screening Pass,"Premium ticket concept for event screenings, previews or live-accompanied film nights.",30,33,EUR,Berlin,Kreuzberg,Mariannenplatz area,DE,mock://berlin_seed,Synthetic Berlin seed based on cinema/event gifting patterns,yes,email_qr,event-based,"cinema,special screening,event",seed_live
Mobile Kino,cinema,ticket,Single Cinema Ticket,"Giftable ticket for one screening, simple low-price product for the marketplace.",11,12,EUR,Berlin,Berlin,Pop-up venues across Berlin,DE,mock://berlin_seed,Synthetic Berlin seed based on cinema/event gifting patterns,yes,email_qr,single screening,"cinema,ticket,entry level",seed_live
Mobile Kino,cinema,ticket,Cinema Night for Two,Two-ticket pack positioned for a shared outing or date night.,22,24,EUR,Berlin,Berlin,Pop-up venues across Berlin,DE,mock://berlin_seed,Synthetic Berlin seed based on cinema/event gifting patterns,yes,email_qr,single evening,"cinema,couples,date night",seed_live
Mobile Kino,cinema,ticket,Special Screening Pass,"Premium ticket concept for event screenings, previews or live-accompanied film nights.",30,33,EUR,Berlin,Berlin,Pop-up venues across Berlin,DE,mock://berlin_seed,Synthetic Berlin seed based on cinema/event gifting patterns,yes,email_qr,event-based,"cinema,special screening,event",seed_live
Studio Ton Berlin Shop,crafts,ceramic goods,Handmade Ceramic Mug,"Small-batch handcrafted mug in Berlin studio style, suitable for physical gift fulfilment or pickup.",24,26,EUR,Berlin,Friedrichshain,Samariterkiez area,DE,mock://berlin_seed,Synthetic Berlin seed inspired by local ceramics retail,yes,email_qr,physical product,"craft,ceramic,mug,homeware",seed_live
Studio Ton Berlin Shop,crafts,ceramic goods,Handmade Serving Bowl,Giftable ceramic serving bowl with artisan finish and local studio branding.,42,46,EUR,Berlin,Friedrichshain,Samariterkiez area,DE,mock://berlin_seed,Synthetic Berlin seed inspired by local ceramics retail,yes,email_qr,physical product,"craft,ceramic,bowl,tableware",seed_live
Studio Ton Berlin Shop,crafts,ceramic goods,Pair of Espresso Cups,"Set of two handcrafted espresso cups, compact and easy for gifting.",32,35,EUR,Berlin,Friedrichshain,Samariterkiez area,DE,mock://berlin_seed,Synthetic Berlin seed inspired by local ceramics retail,yes,email_qr,physical product,"craft,ceramic,espresso cups,set",seed_live
Clay Commons Store,crafts,ceramic goods,Handmade Ceramic Mug,"Small-batch handcrafted mug in Berlin studio style, suitable for physical gift fulfilment or pickup.",24,26,EUR,Berlin,Wedding,Sprengelkiez area,DE,mock://berlin_seed,Synthetic Berlin seed inspired by local ceramics retail,yes,email_qr,physical product,"craft,ceramic,mug,homeware",seed_live
Clay Commons Store,crafts,ceramic goods,Handmade Serving Bowl,Giftable ceramic serving bowl with artisan finish and local studio branding.,42,46,EUR,Berlin,Wedding,Sprengelkiez area,DE,mock://berlin_seed,Synthetic Berlin seed inspired by local ceramics retail,yes,email_qr,physical product,"craft,ceramic,bowl,tableware",seed_live
Clay Commons Store,crafts,ceramic goods,Pair of Espresso Cups,"Set of two handcrafted espresso cups, compact and easy for gifting.",32,35,EUR,Berlin,Wedding,Sprengelkiez area,DE,mock://berlin_seed,Synthetic Berlin seed inspired by local ceramics retail,yes,email_qr,physical product,"craft,ceramic,espresso cups,set",seed_live
Keramik Kollektiv Shop,crafts,ceramic goods,Handmade Ceramic Mug,"Small-batch handcrafted mug in Berlin studio style, suitable for physical gift fulfilment or pickup.",24,26,EUR,Berlin,Neukölln,Reuterkiez area,DE,mock://berlin_seed,Synthetic Berlin seed inspired by local ceramics retail,yes,email_qr,physical product,"craft,ceramic,mug,homeware",seed_live
Keramik Kollektiv Shop,crafts,ceramic goods,Handmade Serving Bowl,Giftable ceramic serving bowl with artisan finish and local studio branding.,42,46,EUR,Berlin,Neukölln,Reuterkiez area,DE,mock://berlin_seed,Synthetic Berlin seed inspired by local ceramics retail,yes,email_qr,physical product,"craft,ceramic,bowl,tableware",seed_live
Keramik Kollektiv Shop,crafts,ceramic goods,Pair of Espresso Cups,"Set of two handcrafted espresso cups, compact and easy for gifting.",32,35,EUR,Berlin,Neukölln,Reuterkiez area,DE,mock://berlin_seed,Synthetic Berlin seed inspired by local ceramics retail,yes,email_qr,physical product,"craft,ceramic,espresso cups,set",seed_live
